id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,URL,Stadium,Location,Highlights_available
5686059,2008,1st match,18-04-2008,ROYAL CHALLENGERS BANGALORE vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 140 runs,https://www.cricbuzz.com/cricket-scores/10557/rcb-vs-kkr-1st-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10557/rcb-vs-kkr-1st-match-indian-premier-league-2008,M.Chinnaswamy Stadium,Bengaluru,FALSE
7762380,2008,2nd match,19-04-2008,KINGS XI PUNJAB vs CHENNAI SUPER KINGS,Chennai Super Kings won by 33 runs,https://www.cricbuzz.com/cricket-scores/10556/kxip-vs-csk-2nd-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10556/kxip-vs-csk-2nd-match-indian-premier-league-2008,Punjab Cricket Association IS Bindra Stadium,Mohali,FALSE
1491263,2008,3rd match,19-04-2008,DELHI CAPITALS vs RAJASTHAN ROYALS,Delhi Daredevils won by 9 wickets (with 29 balls remaining),https://www.cricbuzz.com/cricket-scores/10555/dc-vs-rr-3rd-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10555/dc-vs-rr-3rd-match-indian-premier-league-2008,Arun Jaitley Stadium,Delhi,FALSE
7662859,2008,4th match,20-04-2008,KOLKATA KNIGHT RIDERS vs DECCAN CHARGERS,Kolkata Knight Riders won by 5 wickets (with 6 balls remaining),https://www.cricbuzz.com/cricket-scores/10554/kkr-vs-dcg-4th-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10554/kkr-vs-dcg-4th-match-indian-premier-league-2008,Eden Gardens,Kolkata,FALSE
8361472,2008,5th match,20-04-2008,MUMBAI INDIANS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 5 wickets (with 2 balls remaining),https://www.cricbuzz.com/cricket-scores/10553/mi-vs-rcb-5th-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10553/mi-vs-rcb-5th-match-indian-premier-league-2008,Wankhede Stadium,Mumbai,FALSE
9802433,2008,6th match,21-04-2008,RAJASTHAN ROYALS vs KINGS XI PUNJAB,Rajasthan Royals won by 6 wickets (with 11 balls remaining),https://www.cricbuzz.com/cricket-scores/10552/rr-vs-kxip-6th-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10552/rr-vs-kxip-6th-match-indian-premier-league-2008,Sawai Mansingh Stadium,Jaipur,FALSE
6119559,2008,7th match,22-04-2008,DECCAN CHARGERS vs DELHI CAPITALS,Delhi Daredevils won by 9 wickets (with 42 balls remaining),https://www.cricbuzz.com/cricket-scores/10551/dcg-vs-dc-7th-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10551/dcg-vs-dc-7th-match-indian-premier-league-2008,Rajiv Gandhi International Stadium,Hyderabad,FALSE
8777005,2008,8th match,23-04-2008,CHENNAI SUPER KINGS vs MUMBAI INDIANS,Chennai Super Kings won by 6 runs,https://www.cricbuzz.com/cricket-scores/10550/csk-vs-mi-8th-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10550/csk-vs-mi-8th-match-indian-premier-league-2008,MA Chidambaram Stadium,Chennai,FALSE
8633404,2008,9th match,24-04-2008,DECCAN CHARGERS vs RAJASTHAN ROYALS,Rajasthan Royals won by 3 wickets (with 1 ball remaining),https://www.cricbuzz.com/cricket-scores/10549/dcg-vs-rr-9th-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10549/dcg-vs-rr-9th-match-indian-premier-league-2008,Rajiv Gandhi International Stadium,Hyderabad,FALSE
9355097,2008,10th match,25-04-2008,KINGS XI PUNJAB vs MUMBAI INDIANS,Kings XI Punjab won by 66 runs,https://www.cricbuzz.com/cricket-scores/10548/kxip-vs-mi-10th-match-indian-premier-league-2008,https://www.cricbuzz.com/live-cricket-scorecard/10548/kxip-vs-mi-10th-match-indian-premier-league-2008,Punjab Cricket Association IS Bindra Stadium,Mohali,FALSE
